# Number of wavelengths (nwvl):
 200
# Number of radius (nsize):
   30
# Wavelength axis (wvl):
 0.124866E-03 0.120451E-03 0.116308E-03 0.112312E-03 0.107985E-03
 0.104353E-03 0.101052E-03 0.977473E-04 0.945993E-04 0.914194E-04
 0.884751E-04 0.856768E-04 0.826690E-04 0.800585E-04 0.775589E-04
 0.751651E-04 0.728619E-04 0.706130E-04 0.685980E-04 0.662778E-04
 0.643885E-04 0.626133E-04 0.612129E-04 0.601655E-04 0.623817E-04
 0.758613E-04 0.832071E-04 0.740641E-04 0.313133E-03 0.745260E-03
 0.105513E-01 0.125341E-03 0.236800E-03 0.388389E-03 0.225725E-02
 0.814316E-04 0.751427E-04 0.619051E-04 0.671756E-04 0.464688E-04
 0.381288E-04 0.388072E-04 0.352832E-04 0.342322E-04 0.330854E-04
 0.321799E-04 0.317188E-04 0.306286E-04 0.296375E-04 0.289248E-04
 0.282254E-04 0.275656E-04 0.268922E-04 0.263888E-04 0.255696E-04
 0.250448E-04 0.244856E-04 0.240381E-04 0.237488E-04 0.233900E-04
 0.230078E-04 0.228624E-04 0.247111E-04 0.320095E-04 0.310311E-04
 0.199647E-04 0.195056E-04 0.192462E-04 0.185092E-04 0.180168E-04
 0.175920E-04 0.171641E-04 0.167129E-04 0.163713E-04 0.159971E-04
 0.154833E-04 0.150306E-04 0.146930E-04 0.145274E-04 0.146465E-04
 0.143018E-04 0.144188E-04 0.143960E-04 0.135357E-04 0.130926E-04
 0.128350E-04 0.127521E-04 0.127739E-04 0.131285E-04 0.138055E-04
 0.149696E-04 0.160680E-04 0.177988E-04 0.213589E-04 0.270462E-04
 0.336214E-04 0.368529E-04 0.575398E-04 0.110694E-03 0.210395E-03
# Radius number     2
 0.101299E+01 0.807092E+00 0.648265E+00 0.527064E+00 0.434110E+00
 0.360501E+00 0.302577E+00 0.255145E+00 0.217000E+00 0.186394E+00
 0.160746E+00 0.139040E+00 0.121297E+00 0.106224E+00 0.927841E-01
 0.821080E-01 0.725066E-01 0.641249E-01 0.569250E-01 0.508974E-01
 0.453677E-01 0.407463E-01 0.365048E-01 0.329113E-01 0.296116E-01
 0.268226E-01 0.242100E-01 0.220185E-01 0.200644E-01 0.182220E-01
